	location	address	adname	cityname	id	importance	name	pname	tel	type	typecode	经	纬	keywords
63	115.890286,28.683323	象山北路248号文化宫旁	东湖区	南昌市	B031702QX1	[]	尊品牛排(文化宫店)	江西省	0791-86771870;0791-86783810	餐饮服务;外国餐厅;牛扒店(扒房)	050211	115.890286	28.683323	西餐厅
64	122.250603,40.677404	盼盼路北段26号	站前区	营口市	B01A10IL12	[]	米兰西点(营口店)	辽宁省	0417-2179960	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	122.250603	40.677404	西餐厅
65	118.776603,32.041828	汉中路139号环亚广场汉中店2层	秦淮区	南京市	B00190ZBVA	[]	萨莉亚意式餐厅(环亚广场店)	江苏省	025-84631901	餐饮服务;外国餐厅;意式菜品餐厅	050205	118.776603	32.041828	西餐厅
66	116.460954,39.892715	东三环南路3号楼3层	朝阳区	北京市	B000A8W3X1	[]	豪尚豪牛排馆(双井店)	北京市	010-67711681	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	116.460954	39.892715	西餐厅
67	114.097492,22.822155	花园新街北13号建安广场首层	东莞市	东莞市	B03017WE94	[]	伯顿西餐厅(花园街北店)	广东省	0769-89893222	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	114.097492	22.822155	西餐厅
68	113.669729,22.944345	体育路	东莞市	东莞市	B03010254D	[]	伯顿西餐厅(厚街店)	广东省	0769-88910982;0769-88910983	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	113.669729	22.944345	西餐厅
69	118.795338,32.040390	中山东路288之2-3号新世纪广场A幢4层	秦淮区	南京市	B00190YZ03	[]	一樽牛排馆(新世纪店)	江苏省	025-84671046	餐饮服务;外国餐厅;牛扒店(扒房)	050211	118.795338	32.040390	西餐厅
70	114.290920,30.578678	中山大道818号新佳丽时尚广场F3层3-067	江汉区	武汉市	B001B16TE8	[]	秀玉红茶坊(璇宫店)	湖北省	027-82801995	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	114.290920	30.578678	西餐厅
71	123.433909,41.776977	青年大街288号万象城F4层456	和平区	沈阳市	B001817CMB	[]	王品台塑牛排(万象城)	辽宁省	024-83985556;024-83985558	餐饮服务;外国餐厅;牛扒店(扒房)	050211	123.433909	41.776977	西餐厅
72	126.698217,45.754715	红旗大街301号红博会展购物广场	南岗区	哈尔滨市	B01C30JPYX	[]	牛巴店(红博店)	黑龙江省	0451-82273285	餐饮服务;外国餐厅;外国餐厅	050200	126.698217	45.754715	西餐厅
73	117.195005,39.083849	宾水道18号帝城大酒店1层东侧	河西区	天津市	B001612R13	[]	王品台塑牛排(天津店)	天津市	022-88293180;022-88293190	餐饮服务;外国餐厅;牛扒店(扒房)	050211	117.195005	39.083849	西餐厅
74	120.574793,31.290615	运河路28号永利广场B1层	虎丘区	苏州市	B02000J6NU	[]	超级牛扒(永利广场店)	江苏省	0512-68718999	餐饮服务;外国餐厅;牛扒店(扒房)	050211	120.574793	31.290615	西餐厅
75	121.452367,31.273915	共和新路1918号大宁国际商业广场6座1层	静安区	上海市	B00155D7NH	[]	blue frog蓝蛙(大宁国际商业广场6座)	上海市	021-66313920	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	121.452367	31.273915	西餐厅
76	118.494846,37.456548	北一路1356号	东营区	东营市	B022201PY6	[]	红屋牛排(西城店)	山东省	0546-8782588	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	118.494846	37.456548	西餐厅
77	121.412176,31.270676	真华路888号巴黎春天宝山店B1层	宝山区	上海市	B00156EIPU	[]	萨莉亚意式餐厅(巴黎春天)	上海市	021-36358680;15900973784	餐饮服务;外国餐厅;意式菜品餐厅	050205	121.412176	31.270676	西餐厅
78	118.780019,32.066221	裴家桥1-5号	鼓楼区	南京市	B001906ZJ8	[]	奶酪时光西餐厅(云南北路店)	江苏省	025-83209118	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	118.780019	32.066221	西餐厅
79	117.223497,39.137836	华昌大街70号嘉华国际商业中心东区F1层	河东区	天津市	B00160CBKT	[]	豪尚豪牛排馆(嘉华国际商业中心东区)	天津市	022-84585858	餐饮服务;外国餐厅;西餐厅(综合风味)|餐饮服务;外国餐厅;牛扒店(扒房)	050201|050211	117.223497	39.137836	西餐厅
80	87.626142,43.795361	东风路136号聚天大厦2层	天山区	乌鲁木齐市	B03DF0SVGF	[]	绿茵阁(乌鲁木齐2店)	新疆维吾尔自治区	0991-2828820	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	87.626142	43.795361	西餐厅
81	102.704111,25.045173	景虹街13号(翠湖南门正对面50米)	五华区	昆明市	B03670W616	[]	城市花园(翠湖店)	云南省	0871-65090088	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	102.704111	25.045173	西餐厅
82	120.230564,29.260501	吴宁东路新光天地一期一楼	东阳市	金华市	B024315NXI	[]	豪尚豪牛排馆(新光店)	浙江省	0579-86640777	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	120.230564	29.260501	西餐厅
83	114.124322,22.607846	中兴路13-2号	龙岗区	深圳市	B02F37VPXJ	[]	雨花西餐厅(布吉店)	广东省	0755-28558888	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	114.124322	22.607846	西餐厅
84	120.092437,29.314705	宾王路208号(银龙酒店对面)	义乌市	金华市	B02430I6MZ	[]	雨花西餐厅(宾王店)	浙江省	0579-85636789	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	120.092437	29.314705	西餐厅
85	113.789780,23.022714	东升路星河城购物中心2层2022号	东莞市	东莞市	B03018J8QE	[]	王品台塑牛排(东莞星河城店)	广东省	0769-23836896;0769-23836886;13533634436	餐饮服务;外国餐厅;牛扒店(扒房)	050211	113.789780	23.022714	西餐厅
86	113.680800,22.814910	虎门镇金龙南路新明苑商城15号	东莞市	东莞市	B03017UC97	[]	伯顿西餐厅(虎门店)	广东省	0769-85245778;0769-85245808	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	113.680800	22.814910	西餐厅
87	119.972005,30.538225	武康镇武康镇余英坊商业街42幢24-30号	德清县	湖州市	B023C02W2Z	[]	豪尚豪牛排馆(余英坊商业街店)	浙江省	0572-8088877	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	119.972005	30.538225	西餐厅
88	120.632340,27.773946	玉海街道沿江东路长虹花园1幢1号2层	瑞安市	温州市	B024105UN5	[]	斗牛士牛排餐厅(虹桥店)	浙江省	0577-65656777	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	120.632340	27.773946	西餐厅
89	121.514095,31.300112	邯郸路600号万达广场五角场店3层	杨浦区	上海市	B00155KGBH	[]	萨莉亚意式餐厅(邯郸路店)	上海市	[]	餐饮服务;外国餐厅;意式菜品餐厅	050205	121.514095	31.300112	西餐厅
90	114.119493,22.547132	人民北路2069和兴商城2层	罗湖区	深圳市	B02F37WNRQ	[]	萨莉亚意式餐厅(东门文化娱乐中心店)	广东省	0755-88219725;0755-82197256	餐饮服务;外国餐厅;意式菜品餐厅	050205	114.119493	22.547132	西餐厅
91	116.808816,39.952785	燕郊经济技术开发区燕郊步行街北口136号	三河市	廊坊市	B013C0IEG1	[]	豪尚豪牛排馆(燕郊店)	河北省	0316-3315118	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	116.808816	39.952785	西餐厅
92	118.725114,32.139241	大桥北路48号弘阳广场大洋百货1层大洋百货(江北店)2层	浦口区	南京市	B00190ZHVK	[]	一樽牛排(弘阳广场)	江苏省	025-58464281	餐饮服务;外国餐厅;牛扒店(扒房)	050211	118.725114	32.139241	西餐厅
93	117.179652,39.103179	卫津路151号南开大学正门对面(八里台立交桥旁)	和平区	天津市	B00160ECNM	[]	味好家(八里台店)	天津市	022-23357875	餐饮服务;外国餐厅;牛扒店(扒房)	050211	117.179652	39.103179	西餐厅
94	112.205529,31.029580	北门路3-7号2层	东宝区	荆门市	B02D400ZGR	[]	豪客嘉族(中天街店)	湖北省	0724-2363797	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	112.205529	31.029580	西餐厅
95	117.016720,36.667490	趵突泉北路6-1号	历下区	济南市	B021307VAE	[]	东方豪客(趵北店)	山东省	0531-67883788	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	117.016720	36.667490	西餐厅
96	112.549711,37.887689	北大街246号长春苑1楼(如一坊东侧)	杏花岭区	太原市	B015F0HTWE	[]	外滩风尚西餐咖啡(北大街)	山西省	0351-3082068;0351-3083298;14735356791	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	112.549711	37.887689	西餐厅
97	114.290236,30.582352	江汉路118号港澳中心2-5层	江岸区	武汉市	B001B0JTPS	[]	绿茵阁西餐厅(时尚店)	湖北省	027-82750269;027-82790039	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	114.290236	30.582352	西餐厅
98	114.119201,22.544952	人民北路1008号中威广场地下城C号(近太阳广场)	罗湖区	深圳市	B02F37WN74	[]	萨莉亚意式餐厅(中威广场店)	广东省	0755-82205461	餐饮服务;外国餐厅;意式菜品餐厅	050205	114.119201	22.544952	西餐厅
99	118.125522,24.499462	嘉禾路399号SM新生活广场黄宝石5层A503号	思明区	厦门市	B02500S7B6	[]	王品台塑牛排(厦门嘉禾店)	福建省	0592-5033871;0592-5033870	餐饮服务;外国餐厅;牛扒店(扒房)	050211	118.125522	24.499462	西餐厅
100	108.347756,22.816658	园湖南路18号2层	青秀区	南宁市	B030302HDW	[]	绿茵阁(园湖店)	广西壮族自治区	0771-5858172;0771-5893328	餐饮服务;外国餐厅;西餐厅(综合风味)|餐饮服务;咖啡厅;咖啡厅	050201|050500	108.347756	22.816658	西餐厅
101	113.710504,37.600297	迎宾路嘉会超市往前50米左右1314	昔阳县	晋中市	B01620MZ8X	[]	外滩风尚西餐咖啡(迎宾路)	山西省	13903541660	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	113.710504	37.600297	西餐厅
102	114.117412,22.535898	春风路4001号新都酒店B1层	罗湖区	深圳市	B02F37VUBU	[]	绿茵阁(新都自助餐店)	广东省	[]	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	114.117412	22.535898	西餐厅
103	112.557237,28.248910	金泰路199号	宁乡市	长沙市	B02DB0TVIB	[]	佳客来牛排(金满地商业街)	湖南省	0731-84213377	餐饮服务;外国餐厅;牛扒店(扒房)	050211	112.557237	28.248910	西餐厅
104	113.969762,22.530510	白石路168号京基百纳广场(南山店)B1层B1-03A	南山区	深圳市	B02F37W85X	[]	圣多斯巴西烤肉(京基百纳广场南山店)	广东省	0755-86286293;0755-86286950	餐饮服务;外国餐厅;巴西菜	050215	113.969762	22.530510	西餐厅
105	116.438723,39.922122	三丰北里1号楼1层125号	朝阳区	北京市	B000A8WA7O	[]	blue frog蓝蛙(悠唐店)	北京市	010-85612665;010-85612632	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	116.438723	39.922122	西餐厅
106	118.784862,32.044073	中山路18号德基广场2期F8层F802	玄武区	南京市	B0FFFUCOKF	[]	西堤厚牛排(德基广场2期)	江苏省	025-86777867;025-86777866	餐饮服务;外国餐厅;牛扒店(扒房)	050211	118.784862	32.044073	西餐厅
107	110.301983,25.281794	伏和巷20号	秀峰区	桂林市	B0305095MB	[]	麦香坊(伏波店)	广西壮族自治区	0773-2885288;0773-5828933	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	110.301983	25.281794	西餐厅
108	125.345117,43.900111	亚泰大街1138号新天地购物公园3楼东侧(近影城)新天地购物公园(亚泰大街)4层	宽城区	长春市	B01AF0CRCN	[]	牛巴店(新天地店)	吉林省	0431-88767601	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	125.345117	43.900111	西餐厅
109	118.624350,24.744065	阳光住宿附近	石狮市	泉州市	B02530PZVQ	[]	牛魔王牛排馆(宝岛店)	福建省	0595-88715165	餐饮服务;外国餐厅;牛扒店(扒房)	050211	118.624350	24.744065	西餐厅
